id,name,group,updown
M425T7_4,"3_,7_,12_,19-Tetrahydroxy-5_-cholanoate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M449T8_5,Coprocholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M181T3_1,1-Methylurate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M182T6_4,Phenylpyruvate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M217T2_4,N-(3-Acetamidopropyl)pyrrolidin-2-one,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M319T8_1,Ubiquinone-2,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M371T8_3,"3-Oxo-4,6-choladienoate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M487T5_4,7-Sulfocholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M145T1_2,_-Ketoglutarate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M175T1_16,N-Acetylproline,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M204T6_2,Indole-3-lactate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M215T4_1,Bisnorbiotin,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M232T3_1,Dopamine 3-O-sulfate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M285T8_4,Hexadecanedioate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M342T9_2,Dodecanoylcarnitine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M403T7_2,"24,25,26,27-Tetranor-23-oxo-hydroxyvitamin D3",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M143T2,(E)-2-Methylglutaconate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M145T1_8,3-Methylglutaconate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M146T1_16,Spermidine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M147T1_11,L-Lysine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M148T1_14,L-Glutamate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M171T3,"2-Hydroxyhepta-2,4-dienedioate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M189T1_4,Oxalosuccinate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M243T5_7,Leucyl-Isoleucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M406T5_4,Neurotensin 11-13,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M429T9_5,1-Hydroxyvitamin D5,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M133T1_9,"(R)-2,3-Dihydroxy-isovalerate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M135T1_5,Hypoxanthine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M146T1_12,Acetylcholine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M173T7,"1,2-Dihydro-1,1,6-trimethylnaphthalene",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M174T1_8,Citrulline,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M260T3_4,Lysyl-Hydroxyproline,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M265T1_10,Thiamine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M265T9,"(9Z,12Z,15Z)-Octadecatrien-1-ol",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M271T9_2,(R)-3-Hydroxy-hexadecanoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M283T9_2,Oleate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M285T8_2,Protoporphyrinogen IX,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M329T7_2,Aflatoxin B1 dialcohol,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M339T8_3,Tetracosahexaenoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M355T8_2,"3_-Hydroxychola-5,7-dien-24-oate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M357T8_4,"(1S)-1-Hydroxy-23,24-didehydro-25,26,27-trinorcalciol",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M371T7_3,"3_,12_-Dihydroxy-5_-chola-7,14-dien-24-oate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M373T8_2,"3_-Hydroxy-5_-chola-8(14),11-dien-24-oate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M375T9_3,Lithocholate ,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M389T8_2,"3_,12_-Dihydroxy-5_-chola-7,9(11)-dien-24-oate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
