"","variable","importance"
"236","X790",0.0233333333333333
"237","X131834405",0.0233333333333333
"238","X131751604",0.0233333333333333
"239","X131834358",0.0233333333333333
"240","X1088",0.0225
"241","X867",0.0225
"242","X96814",0.0225
"243","X83525",0.0225
"244","X19816752",0.0225
"245","X3744",0.0225
"246","X5284174",0.0225
"247","X5283852",0.0225
"248","X92779",0.0225
"249","X91825606",0.0225
"250","X5283145",0.0225
"251","X5789",0.0225
"252","X129397",0.0225
"253","X10690",0.0225
"254","X91493",0.0225
"255","X58",0.0225
"256","X123831",0.0213333333333333
"257","X469",0.0213333333333333
"258","X4677380",0.0213333333333333
"259","X6288",0.0213333333333333
"260","X439194",0.0213333333333333
"261","X444791",0.0213333333333333
"262","X53477904",0.0213333333333333
"263","X159663",0.0213333333333333
"264","X11954188",0.0213333333333333
"265","X13817313",0.0198333333333333
"266","X70923",0.0198333333333333
"267","X25320870",0.0198333333333333
"268","X27919",0.0198333333333333
"269","X3848",0.0198333333333333
"270","X99463",0.018
"271","X22833525",0.018
"272","X85575714",0.018
"273","X74839",0
"274","X65249",0
"275","X92832",0
"276","X57357510",0
"277","X10329619",0
"278","X126041",0
"279","X5862",0
"280","X145742",0
"281","X6322",0
"282","X127370",0
"283","X150929",0
"284","X1196",0
"285","X192878",0
"286","X70914",0
"287","X440848",0
"288","X7405",0
"289","X11984188",0
"290","X18744842",0
"291","X447123",0
"292","X79198664",0
"293","X72222",0
"294","X169485",0
"295","X5351619",0
"296","X6274",0
"297","X126923",0
"298","X196",0
"299","X13943174",0
"300","X134128",0
"301","X849",0
"302","X6137",0
"303","X91552",0
"304","X440732",0
"305","X65938",0
"306","X96801",0
"307","X14354813",0
"308","X18218188",0
"309","X332962",0
"310","X19365650",0
"311","X71464664",0
"312","X11736661",0
"313","X7015704",0
"314","X92843",0
"315","X11778669",0
"316","X20849429",0
"317","X4414300",0
"318","X13879965",0
"319","X14426033",0
"320","X342468",0
"321","X435949",0
"322","X274178",0
"323","X25207301",0
"324","X53480674",0
"325","X7074739",0
"326","X435718",0
"327","X80817",0
"328","X70912",0
"329","X7010565",0
"330","X115244",0
"331","X11902892",0
"332","X11010621",0
"333","X7021827",0
"334","X7020164",0
"335","X7010531",0
"336","X7009554",0
"337","X107475",0
"338","X151023",0
"339","X94340",0
"340","X57329379",0
"341","X439258",0
"342","X53481585",0
"343","X101039148",0
"344","X60947",0
"345","X215",0
"346","X14033762",0
"347","X5370648",0
"348","X1018",0
"349","X10981970",0
"350","X86",0
"351","X151066",0
"352","X472",0
"353","X439280",0
"354","X18986",0
"355","X102763",0
"356","X3845",0
"357","X6305",0
"358","X5699",0
"359","X802",0
"360","X10256",0
"361","X676157",0
"362","X637542",0
"363","X5280801",0
"364","X6057",0
"365","X9378",0
"366","X535",0
"367","X6368126",0
"368","X449034",0
"369","X289793",0
"370","X9964159",0
"371","X3018936",0
"372","X53481262",0
"373","X5283835",0
"374","X53477692",0
"375","X459070",0
"376","X5283996",0
"377","X115245",0
"378","X12443252",0
"379","X21124703",0
"380","X5284239",0
"381","X5460314",0
"382","X387316",0
"383","X9882882",0
"384","X45093080",0
"385","X25203549",0
"386","X135565297",0
"387","X135449517",0
"388","X5192",0
"389","X10457",0
"390","X12736",0
"391","X25244228",0
"392","X743",0
"393","X15816",0
"394","X99823",0
"395","X36811",0
"396","X6438678",0
"397","X44237181",0
"398","X3390357",0
"399","X196513",0
"400","X167918",0
"401","X88111",0
"402","X115145",0
"403","X45479483",0
"404","X45782816",0
"405","X6443809",0
"406","X21398693",0
"407","X5280352",0
"408","X26818",0
"409","X114935",0
"410","X1021",0
"411","X2148",0
"412","X10103208",0
"413","X16663321",0
"414","X5280523",0
"415","X440864",0
"416","X47",0
"417","X637775",0
"418","X445858",0
"419","X65124",0
"420","X194024",0
"421","X523",0
"422","X6435901",0
"423","X213144",0
"424","X53481630",0
"425","X440279",0
"426","X15569776",0
"427","X10458",0
"428","X22328017",0
"429","X5312409",0
"430","X6365140",0
"431","X5280934",0
"432","X445638",0
"433","X2266",0
"434","X5356421",0
"435","X6443013",0
"436","X9858729",0
"437","X6439847",0
"438","X15730832",0
"439","X53480920",0
"440","X22394751",0
"441","X5283120",0
"442","X53477457",0
"443","X5280877",0
"444","X52929659",0
"445","X42607469",0
"446","X52928632",0
"447","X10634",0
"448","X5754",0
"449","X9904",0
"450","X8955",0
"451","X71464583",0
"452","X443198",0
"453","X12897225",0
"454","X1549095",0
"455","X650",0
"456","X6257035",0
"457","X439260",0
"458","X86492",0
"459","X6047",0
"460","X774",0
"461","X123962",0
"462","X1123",0
"463","X18189",0
"464","X305",0
"465","X5610",0
"466","X10219774",0
"467","X19",0
"468","X12599",0
"469","X190",0
"470","X597",0
"471","X13711",0
"472","X9700",0
"473","X1135",0
"474","X6029",0
"475","X135407175",0
"476","X65095",0
"477","X676414",0
"478","X15047",0
"479","X54097042",0
"480","X92258",0
"481","X4671",0
"482","X5246009",0
"483","X11568",0
"484","X9920917",0
"485","X14090",0
"486","X385",0
"487","X189087",0
"488","X52920332",0
"489","X12039",0
"490","X131752769",0
"491","X97250",0
"492","X5461103",0
